true_class,predicted_class,confidence,gradcam_region,xai_explanation,image_idx
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the bottom-right region displays a compact grid of rectangular structures, typical of residential layouts. These structures often have uniform, repetitive patterns that suggest multiple dwellings, such as apartment complexes. Additionally, the texture and spacing resemble the density commonly found in residential areas, distinguishing them from commercial or industrial zones.",5
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the bottom-right region shows a pattern of multiple rectangular roofs arranged in an organized grid-like fashion, typical of residential areas. The spacing between these rectangular structures suggests roads or pathways, characteristic of neighborhood layouts. Additionally, the overall uniformity and size of the structures are consistent with typical residential building dimensions.",6
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" due to the distinct grid-like pattern and uniform structures in the bottom-right region. This area shows a dense arrangement of rectangular shapes and consistent spacing typical of residential layouts. The textures and colors indicate man-made constructions, consistent with rooftops and building materials commonly found in urban housing areas.",7
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely identified the area as ""residential buildings or homes or apartments"" due to the distinct grid pattern of the streets and the uniform, repeating shapes of rooftops typical of residential structures. The bottom-right region shows dense clustering and regular spacing, which are common characteristics of housing developments. The presence of these features strongly aligns with typical residential layouts.",8
residential buildings or homes or apartments,residential buildings or homes or apartments,99.7,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" due to the visible grid-like pattern in the bottom-right region, which is typical of urban residential layouts. The presence of small, rectangular shapes suggests individual buildings or housing units. Furthermore, the arrangement and spacing resemble streets or pathways commonly found in residential areas.",9
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-left region, strongly activated","The model likely focused on the bottom-left region due to the distinct rectangular and grid-like patterns that are characteristic of residential areas. This area features uniform, closely packed shapes typical of homes or apartment buildings. Additionally, the presence of intersecting lines suggests roads or pathways commonly found in residential neighborhoods. These visual cues collectively suggest a pattern associated with residential environments.",10
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the bottom-right region of the image appears to have a dense grid-like pattern, indicative of urban development. This area shows a network of straight lines and rectangular shapes that resemble streets and building outlines. The uniformity and clustering of these shapes suggest structures typical of residential areas, such as homes or apartments.",11
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"top-right region, strongly activated","In the highlighted region, the model likely identified features typical of residential areas, such as the presence of neatly organized rectangular shapes indicating buildings. These structures have similarities in size and spacing, consistent with layouts commonly found in residential housing or apartment complexes. Additionally, the presence of grids or roads separating these structures supports the classification as residential.",12
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" due to the densely packed layout in the bottom-right region, which is typical of residential areas. The presence of grid-like patterns, which suggest streets separating blocks of buildings, supports this classification. Additionally, the uniform and repetitive roofing structures are indicative of residential architecture, further reinforcing the model's prediction.",13
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely made its prediction based on the visible dense grid pattern of smaller, uniformly sized structures in the bottom-right region. This pattern is characteristic of residential areas, where homes or apartments are arranged in a tight, organized layout. Additionally, the presence of similar roof shapes and the alignment of the buildings along a network of streets further supports the classification as residential buildings. These features align with common characteristics of urban housing developments.",14
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the bottom-right region shows a pattern of regular, grid-like shapes typical of residential areas. These features include distinct rectangular roofs and organized rows consistent with urban housing arrangements. The texture and density of the structures suggest multi-unit dwellings, which are common in residential zones.",15
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the bottom-right region of the image features a distinct grid-like pattern, typical of urban planning in residential areas. This region shows rectangular shapes and linear alignments that resemble the layout of streets and blocks. These characteristics suggest the organized structure of housing developments, supporting the model's classification.",16
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" due to the presence of rectangular shapes and grid-like patterns typical of housing layouts in the highlighted bottom-right region. These structures are often tightly packed, with uniform sizes and orientations that are consistent with organized residential areas. The model might also have detected textures and color variations corresponding to rooftops, roads, and other urban residential features.",17
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The prediction of ""residential buildings or homes or apartments"" is likely due to the distinct geometric patterns and regular grid layout visible in the bottom-right region of the image. This area shows clusters of rectangular shapes with consistent spacing, typical of residential buildings. Additionally, the presence of multiple similar structures in close proximity further supports the model's classification of this area as residential.",18
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the highlighted bottom-right region contains discernible grid-like patterns typical of residential areas. The geometry of the area suggests blocks with structures that resemble the regular, rectangular layouts of buildings. Additionally, the spacing and arrangement of these shapes indicate organized plots consistent with housing developments.",19
river,river,97.4,"bottom-right region, strongly activated","The model likely predicted the class ""river"" because in the bottom-right region, there is a distinct elongated, winding shape consistent with a river. This area shows a different texture compared to the surrounding land, suggesting the presence of water. The continuous, curved pattern follows the characteristic flow of a river, helping the model to identify it accurately.",0
river,river,98.9,"top-right region, strongly activated","The model likely predicted ""river"" due to the elongated, winding shape in the top-right region, which is characteristic of a river. The texture appears smooth and consistent with water flow, distinguishing it from surrounding land. Additionally, the model may have recognized the parallel edges typical of riverbanks, reinforcing the classification.",1
river,river,100.0,"bottom-right region, strongly activated","The model likely predicted ""river"" because the highlighted region in the bottom-right shows features typical of a river. This area has an elongated, winding shape with a consistent, smooth texture indicating a body of water. The contrast between the dark blue area and the adjacent land areas suggests the presence of a water boundary, characteristic of rivers. Additionally, the distinct separation between land and this dark region supports the identification of a river channel.",2
river,river,93.8,"bottom-right region, strongly activated","The model likely predicted ""river"" because the bottom-right region contains features characteristic of a river, such as a long, narrow expanse of uniform, smooth texture, and a distinct blue color typical of water bodies. This area may also include visible edges or boundaries that indicate riverbanks. The continuity and flow pattern in this segment suggest a waterway, distinguishing it from other land-based textures and shapes.",3
river,river,100.0,"bottom-right region, strongly activated","The model likely predicted ""river"" because the bottom-right region shows a elongated, dark area that contrasts with the surrounding land, indicative of water bodies. The smooth, continuous texture and the linear shape align with features typically associated with rivers. Additionally, the edges of this area are well-defined, which can resemble the banks of a river, reinforcing the prediction.",4
river,river,99.9,"bottom-right region, strongly activated","The model likely predicted ""river"" due to the distinct, curving linear shape in the bottom-right region of the image, which resembles the typical meandering pattern of a river. The color contrast between this shape and the surrounding features suggests a water body. Additionally, the smooth texture and consistent width of the highlighted region align with common characteristics of rivers.",5
river,river,100.0,"bottom-right region, strongly activated","The model likely predicted ""river"" due to the visible elongated, winding shape characteristic of river formations in the bottom-right region. The texture and color are consistent with water, appearing as a dark, smooth area that contrasts with the surrounding land. This distinct linear pattern in the highlighted section aligns with typical river features seen in satellite imagery.",6
river,river,100.0,"bottom-left region, strongly activated","The model likely predicted ""river"" because of the elongated, curved shape in the bottom-left region, which resembles the typical structure of a river. The blue coloration suggests water, contrasting with the surrounding greenery or terrain. This pattern, combined with the distinct linear and meandering path, strongly indicates a river-like feature.",7
river,river,100.0,"bottom-right region, strongly activated","The highlighted bottom-right region shows a long, curving shape typical of rivers, with a lighter color suggesting the presence of water. The flow-like structure with smooth, continuous lines and the surrounding darker areas, which might represent riverbanks or land, reinforces the appearance of a waterway. These specific features match the characteristics the model associates with rivers, leading to its prediction.",8
river,river,100.0,"bottom-right region, strongly activated","The model likely predicted ""river"" due to the presence of a long, curved, and continuous light-colored feature in the bottom-right region of the image. This shape is characteristic of river bodies, which typically have smooth, flowing contours. The surrounding darker area may indicate vegetation or land, enhancing the contrast and highlighting the water pathway. These visual patterns are consistent with typical satellite images of rivers, supporting the model's prediction.",9
river,river,99.9,"bottom-left region, strongly activated","The model predicted ""river"" likely because the bottom-left region of the image shows a long, narrow shape with a consistent coloration that matches typical water bodies. The texture is smooth, suggesting the presence of flowing water. Additionally, the spatial pattern, with a distinct boundary between the water and adjacent land, supports the identification of a river.",10
river,river,95.2,"bottom-left region, strongly activated","The model predicted ""river"" because the bottom-left region contains features characteristic of a river: a long, winding shape with a consistent width suggesting a water body. The texture in this area is smooth and uniform, lacking the varied textures typically seen in urban or forested areas. The color is consistent with typical waterways, likely influencing the model's identification of this region as part of a river system.",11
river,river,100.0,"bottom-right region, strongly activated","The model predicted ""river"" because it focused on the distinct shape and color patterns in the bottom-right region. This area displays a long, winding blue feature, indicative of a watercourse. The smooth, continuous texture contrasts with the surrounding urban and natural landscapes, reinforcing the identification of a river. The spatial pattern aligns with typical river-like flow and boundaries, guiding the model's classification.",12
river,river,100.0,"bottom-right region, strongly activated","The model likely predicted ""river"" because the highlighted bottom-right region displays characteristics typical of a river. This area shows a long, narrow, and relatively straight dark band that contrasts with the adjacent lighter-colored land, suggesting the presence of water. The linear continuity and parallel boundaries of this feature are consistent with how rivers appear in satellite imagery.",13
river,river,100.0,"bottom-right region, strongly activated","The model predicted ""river"" likely because the bottom-right region displays a long, narrow shape with a distinct linear flow pattern typical of rivers. The texture in this area appears uniform and smooth compared to the surrounding land, indicating the presence of water. Additionally, the boundary of this region exhibits gentle curves, resembling typical riverbanks, which further supports the identification.",14
river,river,91.9,"bottom-right region, strongly activated","The model likely predicted ""river"" because the highlighted region in the bottom-right displays key features typical of a river. This area shows a long, winding shape with a consistent, narrow width, distinct from the surrounding land. The texture is smooth and uniform, suggesting water flow, and the distinct boundary lines indicate a natural separation from adjacent land areas, reinforcing the identification of a river.",15
river,river,100.0,"bottom-right region, strongly activated","The model likely predicted ""river"" due to the distinct elongated, curving shape visible in the image, particularly emphasized in the bottom-right region. This area showcases a narrow, continuous, and winding pattern typical of rivers. The contrast between the dark, flowing area and the surrounding lighter land reinforces the characteristic visual difference seen with bodies of water against their environment. The highlighted region captures this flow and contour, aligning with typical river features.",16
river,river,100.0,"bottom-right region, strongly activated","The model predicted ""river"" likely because the bottom-right region of the image features a long, narrow shape with a smooth, flowing texture typical of water bodies. This area contrasts with the surrounding land, indicating a boundary that is characteristic of a river cutting through terrain. The linear and slightly winding path reinforces the typical appearance of a river course.",17
river,river,100.0,"bottom-right region, strongly activated","The model likely predicted ""river"" because the bottom-right region in the image displays features characteristic of a river, such as a long, narrow, and continuous shape. This area shows a distinct flow pattern, contrasting with the surrounding terrain, which is typical for water bodies. The texture in this region also presents a smooth, uniform appearance consistent with water surfaces.",18
river,river,94.9,"bottom-right region, strongly activated","The model likely predicted ""river"" because the bottom-right region contains a long, narrow, and winding shape characteristic of rivers. This area contrasts with the surrounding textures, showing a darker, uniform appearance typical of water bodies. The defined boundaries and flow-like pattern support the classification as a river.",19
