true_class,predicted_class,confidence,lime_description,lime_explanation,image_idx
industrial buildings or commercial buildings,industrial buildings or commercial buildings,99.7,"5 important segments in the lower-left, middle-center, lower-center of the image","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, boxy structures with uniform rooftops, which are typical characteristics of industrial or commercial areas. In the lower-left, middle-center, and lower-center segments, you can observe clusters of these rectangular buildings and possibly parking lots or loading areas, indicating usage for industrial or commercial purposes. Additionally, the spatial arrangement and density of these buildings often align with patterns seen in such areas, contributing to the model's prediction.",14
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"5 important segments in the middle-left, upper-center, lower-center of the image","The model likely predicted ""industrial or commercial buildings"" due to the observable geometric patterns and dense arrangements characteristic of such areas. In the highlighted segments, there is a presence of large, rectangular structures with consistent, flat rooftops, commonly found in industrial zones. Additionally, the grid-like layout and presence of surrounding roads and parking lots are typical of commercial environments, supporting this classification.",15
industrial buildings or commercial buildings,industrial buildings or commercial buildings,99.6,"5 important segments in the lower-center, middle-right, lower-right of the image","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of distinct rectangular and block-like structures concentrated in the important segments of the image. These segments display uniform, grid-like patterns typical of industrial or commercial architecture. The density and arrangement of buildings suggest complex infrastructures, which are often associated with such facilities. The shape and layout visible in the lower-center and right portions reinforce the typical spatial patterns of industrial or commercial areas.",16
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"5 important segments in the lower-center, middle-left, upper-center of the image","The model likely predicted ""industrial or commercial buildings"" due to the presence of large, rectangular structures in the lower-center and middle-left sections of the image, which are typical of warehouses or manufacturing facilities. The rooftops appear uniform and possibly include features like vents or skylights, which are common in industrial setups. Additionally, the spatial arrangement and size of the buildings, with some having grid-like patterns, suggest large-scale, non-residential use, reinforcing the model's prediction.",17
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"5 important segments in the middle-center, middle-left, lower-center of the image","The model likely predicted ""industrial buildings or commercial buildings"" due to the specific arrangement and structure of the buildings in the highlighted segments. The middle-center and middle-left segments show a dense cluster of square and rectangular shapes, typical of large warehouses or factory units. Additionally, the lower-center segment contains uniform, grid-like patterns, which are common in commercial areas with organized parking or storage spaces. These characteristics suggest the presence of industrial or commercial facilities.",18
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"5 important segments in the lower-center, middle-center, lower-right of the image","The image shows geometric patterns consistent with urban infrastructure, such as rectangular shapes and flat roofs, which are common in industrial or commercial buildings. The important segments in the lower-center, middle-center, and lower-right highlight concentrated areas with dense structures and possibly parking lots, suggesting large building complexes. The color variations and textures also resemble materials used in industrial spaces, like concrete and metal roofing. These characteristics align with features typical of industrial or commercial settings.",19
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the middle-center, lower-right, upper-center of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the dense clustering of rectangular shapes with varied roofing, which is typical of residential areas. The image shows a grid-like pattern common in urban planning, emphasizing streets or pathways that separate these structures. The segments in the middle-center, lower-right, and upper-center include consistent building alignment and repetition, characteristic of residential housing layouts.",0
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the lower-center, middle-right, middle-left of the image","The model likely identified the area as residential due to the dense clustering of geometric shapes and linear patterns in the important segments, which are characteristic of housing layouts. The uniformity and repetition of these shapes suggest rows of buildings or homes typical in residential areas. Additionally, the alignment of these forms with visible roads or pathways supports the organization commonly found in residential neighborhoods.",1
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the upper-center, middle-right, lower-right of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the presence of densely packed rectangular shapes, which resemble rooftops. These shapes are organized in a grid-like pattern, typical of urban residential areas. Additionally, the important segments in the upper-center, middle-right, and lower-right, emphasize clusters and alignments consistent with streets and housing layouts. These visual features suggest a structured arrangement characteristic of residential neighborhoods.",2
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the lower-left, middle-left, lower-right of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the presence of grid-like patterns formed by streets, which are characteristic of residential areas. The image shows clusters of small, box-like structures with uniform spacing, suggesting individual houses or apartment complexes. Additionally, the highlighted segments in the lower-left, middle-left, and lower-right indicate areas of dense construction with clear boundaries typical of residential zoning. These features collectively match typical residential area layouts.",3
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the lower-center, middle-center, middle-right of the image","The model predicted ""residential buildings or homes or apartments"" likely due to recognizable patterns typical of residential areas. In the important segments, you might notice smaller, repetitive rectangular shapes suggesting rooftops, arranged in a grid-like or organic pattern typical of urban layouts. The density of these shapes, especially in the lower-center, middle-center, and middle-right, aligns with common features of residential zones. Additionally, the variation in color and texture within these segments might indicate different materials or roofing types, supporting the residential classification.",4
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the lower-center, middle-center, upper-left of the image","The model predicted ""residential buildings or homes or apartments"" due to the dense clustering of rectangular and linear shapes, characteristic of building rooftops. These features are especially prominent in the lower-center, middle-center, and upper-left regions of the image. The uniform patterns and regular spacing suggest organized urban planning typical of residential areas. Additionally, the textures and colors, often associated with rooftops and paved streets, further support the residential classification.",5
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the upper-center, upper-left, middle-right of the image","The model likely identified the area as ""residential buildings or homes or apartments"" due to distinct patterns and structures visible in the image. The segments in the upper-center and upper-left show a network of roads and block-like arrangements, consistent with a residential layout. The middle-right segment reveals rectangular shapes and rooftops characteristic of houses or apartment units. The spatial organization and density of these features support the prediction of a residential area.",6
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the lower-left, middle-center, upper-left of the image","The model likely identified the area as residential buildings due to the dense clustering of rectangular and linear shapes, which are typical of rooftops and street layouts. In the lower-left, middle-center, and upper-left sections, these patterns are consistent with urban grids and housing arrangements. The texture in these segments suggests uniformity and repetition, hallmarks of residential infrastructure. Furthermore, the variations in color and shading align with common materials used in urban residential construction.",7
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the upper-center, middle-left, lower-right of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the dense grid-like pattern visible in the image. This pattern is characteristic of residential areas with organized streets and structures. The arrangement of rooftops, visible in the important segments, suggests the presence of multiple buildings in close proximity, which is typical of neighborhoods or apartment complexes. Additionally, the consistent texture and coloration in these areas indicate uniform building materials used in residential construction.",8
residential buildings or homes or apartments,residential buildings or homes or apartments,99.7,"5 important segments in the lower-center, upper-right, upper-center of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the visible grid-like patterns and linear arrangements typical of residential areas, as seen in the image. The structures in important segments, particularly in the lower-center, upper-right, and upper-center, show clustered, rectangular shapes that resemble rooftops or building outlines. The consistent, organized layout suggests streets or pathways common in residential neighborhoods. These visual cues align with characteristics of residential zones.",9
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the middle-left, middle-center, lower-left of the image","The model likely predicted ""residential buildings or homes or apartments"" because the important segments in the middle-left, middle-center, and lower-left exhibit dense clusters of rectangular shapes with varied sizes, typical of residential structures. These segments show a uniform pattern of closely packed structures, often seen in residential areas, with spaces that suggest streets or alleyways separating the buildings. Additionally, the textures within these segments are consistent with rooftops and pathways commonly found in residential zones.",10
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the middle-center, upper-center, lower-right of the image","The model likely predicted ""residential buildings or homes or apartments"" because the image shows a dense arrangement of structures with defined rectangular shapes, characteristic of buildings. The segments in the middle-center, upper-center, and lower-right contain grid-like patterns and linear features typical of streets and organized blocks. These spatial patterns and textures are indicative of urban residential areas.",11
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the upper-center, middle-left, upper-right of the image","The image's prediction of ""residential buildings or homes or apartments"" is supported by the presence of rectangular shapes and grid-like patterns typical of residential structures. These are found in the upper-center and upper-right segments. Additionally, there are consistent, repetitive textures in the middle-left segment that resemble rooftops or organized architectural layouts commonly associated with living spaces.",12
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the upper-right, upper-left, middle-right of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the presence of dense, grid-like patterns typical of urban residential areas. In the image, numerous small, rectangular shapes arranged in rows suggest individual buildings or housing units. The important segments in the upper-right, upper-left, and middle-right highlight these patterns, confirming the model's focus on the structured layout characteristic of residential zones. Additionally, the consistent spacing between these shapes implies streets or walkways common in such areas.",13
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the upper-left, upper-right, middle-left of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the presence of regular geometric patterns typical in housing layouts, such as rectangular shapes arranged in rows or blocks. The concentration of these shapes in the upper-left, upper-right, and middle-left areas suggests organized street grids typical of residential neighborhoods. Additionally, the presence of uniformly spaced structures and possible roofing textures are indicative of residential buildings. These features align with common characteristics of suburban or urban housing developments.",14
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the middle-left, lower-right, middle-right of the image","The model likely predicted ""residential buildings or homes or apartments"" due to specific structural and spatial features visible in the image. The densely packed, rectangular shapes in the middle-left, lower-right, and middle-right areas suggest the presence of building rooftops. The grid-like patterns and consistent alignment typical of residential areas further support this classification. These characteristics are distinct from industrial or commercial areas, reinforcing the model's prediction.",15
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the upper-center, lower-left, lower-right of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the distinct grid-like patterns typical of residential areas, visible in the upper-center portion of the image. These patterns suggest the presence of streets and housing blocks. The lower-left and lower-right sections show clustered arrangements and rectangular shapes indicative of building structures. These features are consistent with organized residential layouts, matching the prediction.",16
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the lower-center, middle-center, middle-right of the image","The model likely predicted ""residential buildings or homes or apartments"" based on distinct architectural elements visible in the image. The important segments include rectangular shapes and aligned patterns suggestive of building structures, found in the lower-center, middle-center, and middle-right areas. These segments also show clusters of small, dark shapes that resemble roofs, typical of residential areas. The consistent spacing and arrangement of these elements further imply residential planning.",17
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the lower-right, middle-center, middle-right of the image","The model likely predicted ""residential buildings or homes or apartments"" due to the dense cluster of rectangular shapes and patterns typical of residential structures in urban areas. The key segments focused on areas with grid-like arrangements and roof patterns that indicate housing units. Additionally, the presence of small roads or pathways may suggest organized residential layouts commonly seen in apartment and housing complexes.",18
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"5 important segments in the middle-right, lower-right, lower-center of the image","The model likely made the prediction based on the presence of distinct linear patterns and grid-like structures visible in the middle-right and lower-right segments, which are characteristic of streets and residential layouts. The segments show clusters of rectangular shapes, typical of building rooftops. Additionally, the spacing and alignment of these features resemble typical residential areas where homes or apartments are organized in close proximity to one another.",19
river,river,97.4,"5 important segments in the upper-left, upper-center, lower-left of the image","The model likely predicted ""river"" due to the presence of elongated, winding shapes in the image, typical of river paths. This feature is especially notable in the darker, curving area that stretches diagonally from the upper-left to the lower-right of the image. The smooth texture and consistent width within these segments are characteristic of a river. Additionally, the important image segments in the highlighted areas suggest a focused recognition of these winding patterns and edges that align with common river features in satellite imagery.",0
river,river,98.9,"5 important segments in the upper-right, middle-left, upper-center of the image","The model likely identified the image as a ""river"" due to the elongated, winding feature visible in the center, which resembles the typical course of a river. The texture and color contrast between the dark, fluid-like central section and the surrounding vegetation suggest flowing water. Additionally, the lighter segments along the edges could represent riverbanks or sandbars, supporting the river classification. These spatial patterns align with characteristics commonly associated with rivers in satellite imagery.",1
river,river,100.0,"5 important segments in the lower-center, middle-right, upper-right of the image","The model likely predicted ""river"" due to the presence of a long, curving, dark blue area running vertically through the image, which resembles the color and flow pattern characteristic of rivers. The important segments in the lower-center, middle-right, and upper-right may include these features, highlighting contiguous stretches of blue with irregular, winding edges typical of a river boundary. Additionally, the segments may emphasize the contrast between the blue of the water and the surrounding land areas, reinforcing the identification of a waterway.",2
river,river,93.8,"5 important segments in the lower-left, upper-left, upper-center of the image","The model likely predicted the class ""river"" because it detected a long, narrow, and winding blue area running across the image, which resembles the typical shape and appearance of a river. The important segments in the lower-left and upper-left, with their darker hues, may represent the water's edge or adjacent land, which contrasts with the water. Additionally, the upper-center segments might highlight areas where the river narrows or changes direction, reinforcing the identification of a continuous water body.",3
river,river,100.0,"5 important segments in the upper-right, lower-left, upper-left of the image","The model likely predicted the class ""river"" because the image shows a long, dark, and narrow area running through the center, characteristic of a river's shape. The texture and color contrast with the surrounding land suggest water. The important segments in the upper-right, lower-left, and upper-left of the image might highlight features like the river's banks and adjacent structures, reinforcing the identification of a river.",4
river,river,99.9,"5 important segments in the lower-center, lower-right, upper-center of the image","The model predicted the class ""river"" likely because of the presence of a curved, elongated shape running through the image, which resembles a typical river path. The segments in the lower-center and lower-right contain this feature, appearing as a continuous line. Additionally, the upper-center shows similar coloring and shape, suggesting a meandering flow consistent with a waterway. The texture and coloring in these segments contrast with the surrounding areas, reinforcing the river-like appearance.",5
river,river,100.0,"5 important segments in the lower-center, upper-right, upper-left of the image","The model likely predicted ""river"" because of the elongated dark feature running diagonally across the image, which resembles the typical winding shape of a river. The important segments identified are spread across areas that appear to be linear and continuous, fitting the common spatial pattern of a river as it moves through a landscape. Additionally, the texture of these segments contrasts with the surrounding land, providing further evidence for the presence of a river.",6
river,river,100.0,"5 important segments in the upper-right, upper-left, middle-left of the image","The model likely identified this image as a ""river"" due to the presence of a long, narrow blue area in the middle-left part of the image, which is characteristic of the linear shape of rivers. The clear contrast between the blue section and the adjacent land areas in the upper-right and upper-left provides a definitive boundary typical of a river flowing through a landscape. The uniform blue color and smooth texture within the segmented areas suggest water, reinforcing the river classification.",7
river,river,100.0,"5 important segments in the lower-right, upper-right, middle-center of the image","The model likely predicted ""river"" due to the visible elongated and curving shapes in the image, which are characteristic of watercourses. The smooth texture and reflective quality, evident in the important segments, suggest the presence of water. Additionally, the segmented areas might show meandering patterns that are typical of rivers as they flow through landscapes. The combination of these visual features supports the classification of the image as a river.",8
river,river,100.0,"5 important segments in the middle-right, middle-center, middle-left of the image","The model predicted ""river"" because of the long, curving light blue segment that runs through the image, indicating the presence of water. The smooth texture and continuous flow pattern of this segment are typical of a river. The segments in the middle-right, middle-center, and middle-left emphasize a consistent width and path that align with river characteristics. The contrasted edges along the river suggest a boundary, reinforcing the prediction.",9
river,river,99.9,"5 important segments in the middle-right, middle-center, lower-right of the image","The model predicted ""river"" because the image shows a long, narrow, and somewhat winding shape with a consistent blue color indicative of water. The important segments in the middle-right, middle-center, and lower-right likely highlight this continuous form and color, which are characteristic of a river. The texture in these areas appears smooth and reflective, typical of water surfaces. Additionally, the placement and flow direction align with common river patterns.",10
river,river,95.2,"5 important segments in the lower-left, middle-center, middle-right of the image","The model likely predicted ""river"" because of the curving, elongated dark segment in the image that resembles the typical shape and color of a river. The important segments identified in the middle-center and middle-right likely highlight the continuous, flowing pattern characteristic of a river's path. Additionally, the consistent texture and contrast between the river and surrounding land areas in the lower-left support this classification. These features align with common visual cues used to identify rivers in satellite imagery.",11
river,river,100.0,"5 important segments in the middle-center, middle-left, upper-center of the image","The model likely predicted ""river"" due to the elongated, winding shape visible in the image, indicative of a typical river's form. The segments in the middle-center and middle-left of the image show a continuous, dark, and smooth texture, characteristic of a water body. Additionally, the upper-center segments highlight a similar texture pattern, prominent in the image, confirming the presence of a flowing river. These features collectively support the prediction of the image being classified as a river.",12
river,river,100.0,"5 important segments in the upper-left, middle-right, middle-left of the image","The model predicted ""river"" due to the elongated, meandering dark shape running centrally through the image, which matches typical river characteristics. The important segments in the upper-left, middle-right, and middle-left highlight variations in texture and color, consistent with water boundaries and adjacent land. The contrast between the dark water and the surrounding lighter land enhances the river's distinguishable flow pattern, supporting the model's classification.",13
river,river,100.0,"5 important segments in the upper-center, lower-center, lower-left of the image","The model likely predicted ""river"" due to the elongated, winding dark blue area running vertically through the image, which is characteristic of a river. The focus on important segments in the upper-center, lower-center, and lower-left could indicate areas where the river takes a more defined or prominent shape, possibly with visible banks or variations in texture. The contrast between the river and the surrounding land enhances its visibility, allowing the model to distinguish its characteristics.",14
river,river,91.9,"5 important segments in the upper-right, upper-left, lower-left of the image","The model predicted ""river"" likely due to the elongated, sinuous shape seen in the middle of the image, which is characteristic of water bodies. The segments in the upper-right and lower-left showing darker, smoother textures suggest reflective surfaces typical of water. Additionally, the surrounding areas with contrasting textures and patterns could indicate land, reinforcing the presence of a river-like feature cutting through the landscape.",15
river,river,100.0,"5 important segments in the upper-center, lower-left, upper-right of the image","The model likely predicted ""river"" due to the distinct, elongated, and curving shape of the dark blue feature in the image, which resembles a waterway. The important segments in the upper-center, lower-left, and upper-right likely highlight parts of this continuous blue path, which contrasts with the surrounding land, suggesting a flowing body of water. The consistent width and the meandering pattern of this feature are characteristic of a river on satellite images.",16
river,river,100.0,"5 important segments in the middle-left, middle-center, upper-right of the image","The model likely predicted ""river"" due to the prominent blue area in the image, indicating a water body, which is a key characteristic of rivers. The important segments in the middle-left, middle-center, and upper-right show elongated, curving shapes typical of river meanders or bends. The color variation and surrounding land patterns suggest a flowing water body, reinforcing the river classification.",17
river,river,100.0,"5 important segments in the middle-center, lower-left, middle-left of the image","The model likely predicted ""river"" because of the distinct linear shape and smooth texture observed in the darker segment running from the middle-center to the lower-left of the image. This section resembles the natural flow of a river, characterized by its continuous, elongated form. Additionally, the contrasting lighter segments on either side suggest banks or surrounding land, reinforcing the perception of a river within those focused areas.",18
river,river,94.9,"5 important segments in the middle-center, lower-left, middle-left of the image","The model likely identified this as a river due to the elongated, winding shape visible in the middle-center of the image, which is characteristic of river formations. The dark hue of the area suggests water, contrasting with the lighter-toned regions that resemble land or vegetation surrounding it. The smooth, continuous texture aligns with flowing water, and the location of important segments in the middle-left and lower-left also matches typical riverbanks or edges. These features collectively support the model's classification.",19
